status,product_area,response,justification,request_type
replied,Claude,"Based on our documentation:
1. every request. In other words, if the Workspace limits are unset, Organization limits still apply. ## Setting Workspace Spend Limits or Notifications 1. Navigate to the desired Workspace's details page by clicking on it from the **Workspaces** list. 2. Click on the ""Limits"" tab. 3. (source: 9796807-creating-and-managing-workspaces-in-the-claude-console.md#chunk-4)
2. the ellipsis next to the Workspace you want to edit. 2. Select “Edit details."" 3. You can modify the following settings: - Workspace Name - Color 4. After making your changes, click ""Save"" to apply them. > **Note:** The default Workspace is not editable and (source: 9796807-creating-and-managing-workspaces-in-the-claude-console.md#chunk-2)
3. and cannot be removed from Workspaces. ## Managing API Keys in a Workspace 1. Navigate to the desired Workspace's details page by clicking on it from the **Workspaces** list. 2. Click on the ""API Keys"" tab. 3. To create a new API key for this (source: 9796807-creating-and-managing-workspaces-in-the-claude-console.md#chunk-3)",prompt_injection=pass; high_risk=pass; domain=Claude; domain_confidence=0.90; domain_ambiguity=pass; request_type=product_issue; request_confidence=0.80; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.165; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.139,product_issue
escalated,HackerRank,We cannot safely resolve this automatically. A human specialist has been engaged.,Request asks for unsupported administrative override.,product_issue
replied,Visa,"Based on our documentation:
1. the transaction is being initiated by the rightful owner of the account. If you’re interested in learning more details about how this security technology combats fraud and provides better check-out experiences, visit [3-D Secure](/run-your-business/small-business-tools/payment-technology/visa-secure.html). ### Merchants ### I have concerns about a place where I (source: support.md#chunk-10)
2. about Visa’s rules, please contact us at [\[email protected\]](/cdn-cgi/l/email-protection#d482bda7b586a1b8b1a794a2bda7b5fab7bbb9). ### Visa Core Rules and Visa Product and Service Rules We believe in giving partners clear insight into the way that Visa runs our global business. Here are the latest editions of our rules to prove (source: visa-rules.md#chunk-2)
3. my balance, etc.? To log in to your credit card account, please visit your issuer or bank website. The website and freephone number (only free when dialling from within the USA) may be located on the front or back of your Visa card. If you (source: support.md#chunk-7)",prompt_injection=pass; high_risk=pass; domain=Visa; domain_confidence=0.99; domain_ambiguity=pass; request_type=product_issue; request_confidence=0.80; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.194; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.174,product_issue
replied,HackerRank,"Based on our documentation:
1. --- title: ""Introduction to Mock Interview Types of mock interviews Accessing mock interview"" title_slug: ""introduction-to-mock-interview-types-of-mock-interviews-accessing-mock-interview"" source_url: ""https://help.hackerrank.com/articles/8988753946-introduction-to-mock-interview"" article_slug: ""8988753946-introduction-to-mock-interview"" last_updated_exact: ""Apr 22, 2026, 10:59 AM"" last_updated_relative: ""Last updated 4 days ago"" breadcrumbs: - ""Mock Interviews"" --- # Introduction to Mock Interview Types of mock interviews (source: 8988753946-introduction-to-mock-interview.md#chunk-1)
2. --- title: ""Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans"" title_slug: ""subscriptions-payments-and-billing-faqs-mock-interviews-subscription-plans"" source_url: ""https://help.hackerrank.com/articles/9157064719-payments-and-billing-faqs"" article_slug: ""9157064719-payments-and-billing-faqs"" last_updated_exact: ""Nov 12, 2025, 4:42 PM"" last_updated_relative: ""Last updated 5 months ago"" breadcrumbs: - ""Subscriptions, Payments, and Billing"" --- # Subscriptions, Payments, and Billing FAQs Mock interviews Subscription (source: 9157064719-payments-and-billing-faqs.md#chunk-1)
3. Community](getting-started/1995877061-introduction-to-hackerrank-community.md) ## Mock Interviews - [AI Fluency Mock Interview Prerequisites Taking AI Fluency mock interview Ending an interview Feedback report Viewing previous attempts](mock-interviews/3796809491-ai-fluency-mock-interview.md) - [Behavioural Mock Interview Prerequisites Taking Behavioural mock interview Ending an interview Feedback report Viewing previous attempts](mock-interviews/5174727491-behavioural-mock-interview.md) - [Coding Mock Interview Available (source: index.md#chunk-2)",prompt_injection=pass; high_risk=pass; domain=HackerRank; domain_confidence=0.75; domain_ambiguity=pass; request_type=bug; request_confidence=0.90; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.292; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.235,bug
escalated,HackerRank,We cannot safely resolve this automatically. A human specialist has been engaged.,Ambiguous domain routing: tied match between HackerRank (1) and Visa (1).,invalid
replied,HackerRank,"Based on our documentation:
1. --- title: ""Using HackerRank Interviews in InterviewPlanner"" title_slug: ""using-hackerrank-interviews-in-interviewplanner"" source_url: ""https://support.hackerrank.com/articles/3675175160-using-hackerrank-interviews-in-interviewplanner"" article_slug: ""3675175160-using-hackerrank-interviews-in-interviewplanner"" last_updated_exact: ""Apr 3, 2025, 11:42 AM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""Integrations"" - ""Scheduling"" --- # Using HackerRank Interviews in InterviewPlanner _Last updated: Apr 3, 2025, 11:42 AM (Last (source: 3675175160-using-hackerrank-interviews-in-interviewplanner.md#chunk-1)
2. different accounts. 4. Contact HackerRank support at [help@hackerrank.com](mailto:help@hackerrank.com) if you are still facing an issue with challenge results. **Note:** If you take part in a company-sponsored challenge, HackerRank does not display the results. The company that hosts the challenge contacts you directly with the results (source: 1273631973-coding-challenges-faqs.md#chunk-2)
3. hiring process? - Who will be your SME? - Will there be an ATS integration for housing data? Subject matter experts are vital in the planning stage. These individuals are typically experienced developers within the business. They could potentially be the hiring manager. As the (source: 1216495690-early-talent-.md#chunk-2)",prompt_injection=pass; high_risk=pass; domain=HackerRank; domain_confidence=0.75; domain_ambiguity=pass; request_type=product_issue; request_confidence=0.70; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.088; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.083,product_issue
replied,HackerRank,"Based on our documentation:
1. candidates to take HackerRank tests via Teamtailor - you would need to have a Recruiter license in HackerRank. - To review results in Teamtailor - you need to have appropriate permissions in Teamtailor. - To review detailed code submissions or evaluate candidates in HackerRank - (source: 6599779249-teamtailor---hackerrank-integration%3A-user-guide.md#chunk-3)
2. (This is a one-time setup. Once logged in, you do not need to repeat this step for scheduling future interviews.) ![HackerRank_Interview_AddOn_Login_Screen.png](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1734047151331-?Expires=253370764800&Signature=JcnLEMBRAA6h3XB4Zo8Im9gjpCwqvknyk5xJqzQF0HVjedOPp0-ucYHbACCvCxh28qOOEOFEd9kBx7MhzABf3n3ByvTSMAOtOZP81j64L6EqsqbObG3~9RfVoKzN0z~jKemi5cJK4v6YFQXrcLK956Sv1Llqk8WSOwxiRELYAwrHc993-TJbfDl7mTc~Z-LmJuzTa~O43uZ-PGTCwxvNUV~D-kssEWMG-T4uTDeoXWTHAuv3uDS-ZD7ZgTaDlpIOc8NGEwXvmmmhjWYd2kWRVCcHYJxQBn3ANcXt8n41ZdRYpnpG~gh4UN85g2vIcPnCiSMopltQD0yGb5n89c2BpQ__&Key-Pair-Id=K3NV4LZ47N8M46) 4\. Click **Save**. Once it is saved you can see the event in your calendar. ![Saving_The_Interview_In_Google_Calendar.png](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1734047151624-?Expires=253370764800&Signature=rNCdAodDYNWRFyP9PNnL19wmysIwJhOj-qZ-IcrygRycA8Qv2mET0Y6UKS233QSM~C~9WXJLfbhPVfFndV1TNS3lKRZF6qk2I54TKdZX4z4dI~GQOrSMuJWl2-iLPQyPKSu8dHEIE5DgCJtthV-Dc11hUocMBpufZu7A648InBazHd1lzrxQJh8yGGSYEXAJrIW2~vDVgOGl5cWvaC9gVPgREC0SVL~47D6PWLQyTI3m2bodX0LyVgbJb0hmOWH19mdS0qbGHMANGyznJLH9LrJtgwYZ9~rWpb4mKbjvrmubFs8ROv5bU9s8Ve10HsLh6d0DW0~3mozLPg56Q6Ga5A__&Key-Pair-Id=K3NV4LZ47N8M46) ## How Does the Calendar Add-ons Appear in (source: 1262999130-hackerrank-interview-and-google-calendar-integration.md#chunk-2)
3. apply changes. \ (source: 7549509598-create-an-event.md#chunk-3)",prompt_injection=pass; high_risk=pass; domain=HackerRank; domain_confidence=0.75; domain_ambiguity=pass; request_type=bug; request_confidence=0.90; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.100; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.097,bug
replied,HackerRank,"Based on our documentation:
1. excel report, check out the [Downloading PDF and Excel Test Reports](https://support.hackerrank.com/hc/en-us/articles/360012776753-Downloading-PDF-and-Excel-Test-Reports) article. 2. Use sections while creating tests and **add randomization** by allowing the system to **pick a set of different questions for each candidate**. Since each candidate may get different questions, it is difficult (source: 4291690360-plagiarism-best-practices-guide.md#chunk-4)
2. completes the test, the Test status is updated on HackerRank. ![candidates_test.png](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1734046331601-?Expires=253370764800&Signature=gQyxdzKczOYg4YgbsRBxgSuamJQFnwZkkiKcjaOqnPa7FbdN-bmA33ODX7ViuuPWzbsu60emxLyAJSQfQSf453ebb98~uAgZ~xI3EgNtvMCHbo4cU472xZIX7HelWqmQlqm-qy9U~6caslgfEamPNqWdUiPC9fSJwIxmKDLe-c8nvdGUOM5h2ShtO8D5pkhfUfGsZBOWLnf-hOykQHyH4WUiBI-noFI4d-yuYsWQscs8W9lezdPZD728zkKo64mCV9KADIb3QR~1IXShbATYUKcI7TRTRAe1c3hlxc8f4ikhHj8ph6eeR4ksUMoHX2gTH-gt0gQB5V4UWw9rghhLpg__&Key-Pair-Id=K3NV4LZ47N8M46) The Recruiter can view the reports of the candidate's assessments on HackerRank. ![candidate_report.png](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1734046331971-?Expires=253370764800&Signature=nnRVgwYTWlhIu~-dtUQbnak8iwVDzlX5vjHxoxna4qGVrew-9kRgMtksI9qhe7HA2VzT7TLQM6wJ~i4eokA8HotRZcaRb1kcIVFEZie30rpJvZz2AzdQW8ANOmZ8RtIjIQU7UcTZ3Sk2qbnxJ-gsAP5bWswROL2hvjWw2KvX~nz-2TWfKAltnIX8e2nyQG3X3mef32L1J2Ipg3X22WQWBy6ZzCyXkODksBkfhDWneEqGPX87P8-rmYZ-jQ0YKSujegT-kAQ4cBPG2rbuZIAyyNqGSGs9s-RmdEh8tZIy2WkZjEHTzKQ26QipM7YSj11DyIGQ2UFFxphqEs5~gsfcPw__&Key-Pair-Id=K3NV4LZ47N8M46) ## Viewing Candidate Test Report in Eightfold After a candidate completes a HackerRank test, Eightfold displays the test report in the (source: 2155086316-hackerrank---eightfold-integration-user-guide.md#chunk-3)
3. the Test section. The definitions of each field are given in the table below to help you better understand when choosing an option. | | | |----|----| | **Term ** | **Definition** | | Invite ID | Invitation ID is generated while inviting a Candidate. (source: 5213013268-report-settings.md#chunk-2)",prompt_injection=pass; high_risk=pass; domain=HackerRank; domain_confidence=0.75; domain_ambiguity=pass; request_type=product_issue; request_confidence=0.70; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.083; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.079,product_issue
replied,HackerRank,"Based on our documentation:
1. --- title: ""Changing the Account Email"" title_slug: ""changing-the-account-email"" source_url: ""https://support.hackerrank.com/articles/9181791010-changing-the-account-email"" article_slug: ""9181791010-changing-the-account-email"" last_updated_exact: ""Dec 13, 2024, 5:06 AM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""Settings"" - ""User Account Settings and Preferences"" --- # Changing the Account Email _Last updated: Dec 13, 2024, 5:06 (source: 9181791010-changing-the-account-email.md#chunk-1)
2. case in the candidate report. <img src=""https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1734046209421-?Expires=253370764800&amp;Signature=t9eOG~bs7DqKIF9c1KVxoM4fhHQfiT0ugX5FdtOj0rKGTTC-aM1lirJTYVXF4yMdIOQBXGubtmNQh2fIqag4foG7istrt-w15TlpSITvnWLll27D-bME3Ty3ikEwVqaZ0KT35DMu-ZrxckkvZiyCAXqbI4fQGIYGVW1XJgQIOiU5jXt4dyOI1kpYDnxClcxNF8lCxYgpFz6xSnw00HViKfFt1RX5gZOBG~aALqKPWnpTyhPUqw9HUYgV5~WGiKjh5fkNJ6Zn8GJxu-eZDhSjupyKJBMAqfwrXjrwVzkiT~M-wjvlNkRCxSz10B8PzgOkvfKRg~nF8QdUgYoYQ4DfRg__&amp;Key-Pair-Id=K3NV4LZ47N8M46"" class=""kb-image block"" data-drag-handle=""false"" /> At a high level, the Runtime Error means the candidate's code wasn't able to run properly because of an error in their code. Below are two examples that could come up in the test (source: 1972468979-understanding-errors-in-post-assessment-reports-for-coding-questions.md#chunk-3)
3. results across job applications if they were invited for the same test. - For example: If a candidate takes a test for Req A and then applies to Req B where you have the same test set up, we will not ask the candidate to (source: 8672148210-oracle-recruiting-cloud---hackerrank-integration-setup-guide.md#chunk-7)",prompt_injection=pass; high_risk=pass; domain=HackerRank; domain_confidence=0.60; domain_ambiguity=pass; request_type=bug; request_confidence=0.90; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.130; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.101,bug
replied,HackerRank,"Based on our documentation:
1. where the candidate completed the AI interview to view following details: ![image.png](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1776786365428-image.png?Expires=253370764800&Signature=d-Lvk3a2etC~JJ6l8t666suE1ZJDwn7iuwfab8GakcPtFq7DUonpNiURdNxQzcwGzdqetS9U8-ZKUhnSpm7ej3UL0NSWfWpc2WqAInQanMYZNblOqn7qrI40AFZXvrwsWs4aOIs-rCZrgTdET9XwFLhqHKpEHIc3VDTphdWRD4R1gKcr6RkdcsSPudqEIQuDgRU4NSVXcE4YZ-QqSArAc~4yu~fXxzlUQjxtfdcWv0K4pFD27NLkUp3VPbrxm713TR24yJLShCUnAXtXjomKk3v3p3gc4t6pmxGr0SoSuNy4agcsV2Be-PUTqg9ojYLC4e7oReOcTwXw4TOnI3s3ug__&Key-Pair-Id=K3NV4LZ47N8M46) - **Status:** The status of the assessment. - **Finished:** Date and time when the candidate completed the assessment. - **Score:** Candidate’s final interview score. - **Report URL:** Click **View in HackerRank** to open (source: 8472393759-ashby-chakra-integration-user-guide.md#chunk-3)
2. --- title: ""Update Company Name and Sender Name Prerequisite Updating the company name and sender name"" title_slug: ""update-company-name-and-sender-name-prerequisite-updating-the-company-name-and-sender-name"" source_url: ""https://support.hackerrank.com/articles/1019487408-changing-the-company-name"" article_slug: ""1019487408-changing-the-company-name"" last_updated_exact: ""Dec 15, 2025, 4:22 PM"" last_updated_relative: ""Last updated 4 months ago"" breadcrumbs: - ""Settings"" - ""Company Level Admin Settings"" --- # Update (source: 1019487408-changing-the-company-name.md#chunk-1)
3. Indicates if the user is a company administrator. | | Last Sign-In At | Date and time when the user last signed in. | | Sign-In Count | Total number of times the user has signed in. | | Last Active At | Date and (source: 7355624862-create-custom-reports.md#chunk-14)",prompt_injection=pass; high_risk=pass; domain=HackerRank; domain_confidence=0.90; domain_ambiguity=pass; request_type=feature_request; request_confidence=0.90; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.151; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.125,feature_request
